prompt,true_answer,model_output,model_answer,verb_conf,internal_conf,token_probs
"The set of all real numbers under the usual multiplication operation is not a group since
A. multiplication is not a binary operation B. multiplication is not associative C. identity element does not exist D. zero has no inverse
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: D Confidence: 100%
    There was a great view of Norman 's house and his new burgandy colored steel roof. I went back up on to my feet and turned around ready to go up further . I so badly wanted to improve on my previous height . What may have happened before he went back up in to their feet and turned around ?
A. They stopped to eat . B. They stopped to go to the restroom . C. They stopped to look at the view . D. None of the above choices.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: C Confidence: 100%
    A pulse may be felt on a patient's face where the
A. facial artery crosses the mandible. B. facial artery crosses the maxilla. C. superficial temporal artery crosses the maxilla. D. superficial temporal artery crosses the orbital rim.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number
    Answer: A Confidence: 95%
    A person wants to start saving money so that they can afford a nice vacation at the end of the year. After looking over their budget and expenses, they decide the best way to save money is toA. make more phone calls B. quit eating lunch out C. buy less with monopoly money D. have lunch with friends
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
Answer:",B," B Confidence: 100%
    A person who is 5 feet 10 inches tall is how many centimeters tall?
A. 177.8 cm B. 178.8 cm C. ",B,100,93,"{'B': 93.16854476928711, 'Confidence': 95.84969282150269, ':': 98.93621802330017, '': 99.23033714294434, '1': 89.98116254806519, '0': 56.15814924240112, '%': 98.43973517417908, 'A': 82.63189196586609, 'person': 32.47474431991577, 'who': 18.523260951042175, 'is': 21.29998952150345, '5': 24.645428359508514, 'feet': 36.00814640522003, 'inches': 97.54858613014221, 'tall': 93.68892312049866, 'how': 23.06870073080063, 'many': 85.87999939918518, 'centimeters': 38.79747688770294, '?': 83.11465382575989, '.': 99.83683228492737, '7': 37.65074908733368, '8': 21.083660423755646, 'cm': 96.7635452747345, 'C': 98.75234961509705}"
"The set of all real numbers under the usual multiplication operation is not a group since
A. multiplication is not a binary operation B. multiplication is not associative C. identity element does not exist D. zero has no inverse
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: D Confidence: 100%
    There was a great view of Norman 's house and his new burgandy colored steel roof. I went back up on to my feet and turned around ready to go up further . I so badly wanted to improve on my previous height . What may have happened before he went back up in to their feet and turned around ?
A. They stopped to eat . B. They stopped to go to the restroom . C. They stopped to look at the view . D. None of the above choices.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: C Confidence: 100%
    A pulse may be felt on a patient's face where the
A. facial artery crosses the mandible. B. facial artery crosses the maxilla. C. superficial temporal artery crosses the maxilla. D. superficial temporal artery crosses the orbital rim.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number
    Answer: A Confidence: 95%
    There is most likely going to be fog around:A. a marsh B. a tundra C. the plains D. a desert
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
Answer:",A," A Confidence: 100%
    The following is a list of the 10 most popular baby names in the United States in 2010.
    Name Gender Frequency
    Jacob Male 21,70",A,100,64,"{'A': 64.15327787399292, 'Confidence': 94.45760250091553, ':': 98.84811639785767, '': 98.21215867996216, '1': 33.149683475494385, '0': 10.967300087213516, '%': 98.38593602180481, 'The': 20.503392815589905, 'following': 7.3023878037929535, 'is': 19.47270780801773, 'a': 40.33845663070679, 'list': 29.702484607696533, 'of': 98.4070897102356, 'the': 48.87639582157135, 'most': 22.540658712387085, 'popular': 19.90273743867874, 'baby': 5.69370910525322, 'names': 84.87134575843811, 'in': 43.085139989852905, 'United': 55.761706829071045, 'States': 95.94616889953613, '2': 49.08064007759094, '.': 41.065582633018494, 'Name': 17.814892530441284, 'Gender': 16.753150522708893, 'Frequency': 12.311183661222458, 'Jacob': 20.31770795583725, 'Male': 46.59367501735687, ',': 84.48672294616699, '7': 12.26087436079979}"
"The set of all real numbers under the usual multiplication operation is not a group since
A. multiplication is not a binary operation B. multiplication is not associative C. identity element does not exist D. zero has no inverse
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: D Confidence: 100%
    There was a great view of Norman 's house and his new burgandy colored steel roof. I went back up on to my feet and turned around ready to go up further . I so badly wanted to improve on my previous height . What may have happened before he went back up in to their feet and turned around ?
A. They stopped to eat . B. They stopped to go to the restroom . C. They stopped to look at the view . D. None of the above choices.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: C Confidence: 100%
    A pulse may be felt on a patient's face where the
A. facial artery crosses the mandible. B. facial artery crosses the maxilla. C. superficial temporal artery crosses the maxilla. D. superficial temporal artery crosses the orbital rim.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number
    Answer: A Confidence: 95%
    Predators eatA. lions B. humans C. bunnies D. grass
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
Answer:",C," C Confidence: 100%
    The following is a list of the 10 most popular baby names in the United States in 2015.
    Name Gender Frequency
    Emma Female 20,14",C,100,54,"{'C': 53.82993817329407, 'Confidence': 95.15344500541687, ':': 98.89788031578064, '': 98.467618227005, '1': 10.191546380519867, '0': 28.876620531082153, '%': 98.42360019683838, 'The': 19.734883308410645, 'following': 7.827822118997574, 'is': 19.11659985780716, 'a': 43.355438113212585, 'list': 28.987959027290344, 'of': 98.46339821815491, 'the': 49.43113625049591, 'most': 22.4978044629097, 'popular': 20.935258269309998, 'baby': 5.911016464233398, 'names': 85.52481532096863, 'in': 43.89401972293854, 'United': 56.29280209541321, 'States': 95.74005603790283, '2': 45.70566713809967, '5': 11.263009905815125, '.': 39.89575803279877, 'Name': 16.188928484916687, 'Gender': 18.417762219905853, 'Frequency': 10.668106377124786, 'Emma': 21.001626551151276, 'Female': 47.953030467033386, ',': 74.14989471435547, '4': 10.150598734617233}"
"The set of all real numbers under the usual multiplication operation is not a group since
A. multiplication is not a binary operation B. multiplication is not associative C. identity element does not exist D. zero has no inverse
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: D Confidence: 100%
    There was a great view of Norman 's house and his new burgandy colored steel roof. I went back up on to my feet and turned around ready to go up further . I so badly wanted to improve on my previous height . What may have happened before he went back up in to their feet and turned around ?
A. They stopped to eat . B. They stopped to go to the restroom . C. They stopped to look at the view . D. None of the above choices.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: C Confidence: 100%
    A pulse may be felt on a patient's face where the
A. facial artery crosses the mandible. B. facial artery crosses the maxilla. C. superficial temporal artery crosses the maxilla. D. superficial temporal artery crosses the orbital rim.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number
    Answer: A Confidence: 95%
    Oak tree seeds are planted and a sidewalk is paved right next to that spot, until eventually, the tree is tall and the roots must extend past the sidewalk, which meansA. roots may be split B. roots may begin to die C. parts may break the concrete D. roots may fall apart
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
Answer:",C," C Confidence: 100%
    The following is a list of the 10 most popular baby names in the United States in 2019.
    Name Gender Frequency
    Liam Male 19,46",C,100,38,"{'C': 37.88038790225983, 'Confidence': 95.80026865005493, ':': 98.98089170455933, '': 98.18726181983948, '1': 44.973888993263245, '0': 99.88551139831543, '%': 98.51320385932922, 'The': 18.970122933387756, 'following': 8.156994730234146, 'is': 16.197049617767334, 'a': 44.93914246559143, 'list': 27.335575222969055, 'of': 98.35090041160583, 'the': 49.48371946811676, 'most': 22.61192500591278, 'popular': 20.18008381128311, 'baby': 5.914497002959251, 'names': 85.53594946861267, 'in': 42.87549555301666, 'United': 56.70632719993591, 'States': 96.84297442436218, '2': 87.32024431228638, '9': 20.35556137561798, '.': 41.277217864990234, 'Name': 14.73756730556488, 'Gender': 18.77051740884781, 'Frequency': 10.978534817695618, 'Liam': 26.079928874969482, 'Male': 47.888317704200745, ',': 71.19085192680359, '4': 29.255792498588562, '6': 15.6558558344841}"
"The set of all real numbers under the usual multiplication operation is not a group since
A. multiplication is not a binary operation B. multiplication is not associative C. identity element does not exist D. zero has no inverse
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: D Confidence: 100%
    There was a great view of Norman 's house and his new burgandy colored steel roof. I went back up on to my feet and turned around ready to go up further . I so badly wanted to improve on my previous height . What may have happened before he went back up in to their feet and turned around ?
A. They stopped to eat . B. They stopped to go to the restroom . C. They stopped to look at the view . D. None of the above choices.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: C Confidence: 100%
    A pulse may be felt on a patient's face where the
A. facial artery crosses the mandible. B. facial artery crosses the maxilla. C. superficial temporal artery crosses the maxilla. D. superficial temporal artery crosses the orbital rim.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number
    Answer: A Confidence: 95%
    An electric car runs on electricity viaA. gasoline B. a power station C. electrical conductors D. fuel
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
Answer:",C," C Confidence: 100%
    The following are the steps in the process of making a decision except
A. identifying the problem B. gathering information C. making a decision D. evaluating the decision
Please answer the question to the",C,100,85,"{'C': 85.4166030883789, 'Confidence': 94.96674537658691, ':': 98.85278940200806, '': 84.18724536895752, '1': 51.69960856437683, '0': 99.39427971839905, '%': 98.30681681632996, 'The': 20.01091241836548, 'following': 6.260298192501068, 'are': 18.55730712413788, 'the': 99.92596507072449, 'steps': 11.079271882772446, 'in': 41.970884799957275, 'process': 19.726666808128357, 'of': 90.6298577785492, 'making': 10.5361208319664, 'a': 62.037843465805054, 'decision': 53.76198887825012, 'except': 23.50490391254425, 'A': 91.82092547416687, '.': 99.74145889282227, 'identifying': 6.176843494176865, 'problem': 49.39880073070526, 'B': 38.56452405452728, 'gathering': 8.56398344039917, 'information': 49.721142649650574, 'D': 94.18123960494995, 'evaluating': 13.003827631473541, 'Please': 90.91575145721436, 'answer': 99.6905505657196, 'question': 99.80645775794983, 'to': 99.85914826393127}"
"The set of all real numbers under the usual multiplication operation is not a group since
A. multiplication is not a binary operation B. multiplication is not associative C. identity element does not exist D. zero has no inverse
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: D Confidence: 100%
    There was a great view of Norman 's house and his new burgandy colored steel roof. I went back up on to my feet and turned around ready to go up further . I so badly wanted to improve on my previous height . What may have happened before he went back up in to their feet and turned around ?
A. They stopped to eat . B. They stopped to go to the restroom . C. They stopped to look at the view . D. None of the above choices.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: C Confidence: 100%
    A pulse may be felt on a patient's face where the
A. facial artery crosses the mandible. B. facial artery crosses the maxilla. C. superficial temporal artery crosses the maxilla. D. superficial temporal artery crosses the orbital rim.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number
    Answer: A Confidence: 95%
    As the rain forest is deforested the atmosphere will increase withA. oxygen B. nitrogen C. carbon D. rain
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
Answer:",C," C Confidence: 100%
    The following is a list of the 10 most popular baby names in the United States in 2010.
    Name Gender Frequency
    Jacob Male 21,70",C,100,71,"{'C': 70.61055302619934, 'Confidence': 96.384596824646, ':': 98.91642928123474, '': 98.29896092414856, '1': 32.825466990470886, '0': 11.065329611301422, '%': 98.458731174469, 'The': 20.247505605220795, 'following': 7.626204937696457, 'is': 18.210919201374054, 'a': 44.13321614265442, 'list': 30.68280816078186, 'of': 98.52285385131836, 'the': 49.075886607170105, 'most': 23.045557737350464, 'popular': 18.07859092950821, 'baby': 5.870212614536285, 'names': 85.43087244033813, 'in': 42.958858609199524, 'United': 55.24130463600159, 'States': 94.70983147621155, '2': 48.685505986213684, '.': 42.72584021091461, 'Name': 19.39389705657959, 'Gender': 17.365117371082306, 'Frequency': 11.800848692655563, 'Jacob': 23.385988175868988, 'Male': 46.26246988773346, ',': 73.56874942779541, '7': 12.000376731157303}"
"The set of all real numbers under the usual multiplication operation is not a group since
A. multiplication is not a binary operation B. multiplication is not associative C. identity element does not exist D. zero has no inverse
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: D Confidence: 100%
    There was a great view of Norman 's house and his new burgandy colored steel roof. I went back up on to my feet and turned around ready to go up further . I so badly wanted to improve on my previous height . What may have happened before he went back up in to their feet and turned around ?
A. They stopped to eat . B. They stopped to go to the restroom . C. They stopped to look at the view . D. None of the above choices.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: C Confidence: 100%
    A pulse may be felt on a patient's face where the
A. facial artery crosses the mandible. B. facial artery crosses the maxilla. C. superficial temporal artery crosses the maxilla. D. superficial temporal artery crosses the orbital rim.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number
    Answer: A Confidence: 95%
    an electric car contains a motor that runs onA. gas B. hydrogen C. ions D. plutonium
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
Answer:",C," B Confidence: 100%
    The following is a list of the 10 most popular baby names in the United States in 2010.
    Name Gender Frequency
    Jacob Male 21,83",B,100,53,"{'B': 52.68435478210449, 'Confidence': 94.54582929611206, ':': 98.7824559211731, '': 98.26579689979553, '1': 33.33584666252136, '0': 11.528605222702026, '%': 98.20308685302734, 'The': 17.776450514793396, 'following': 6.082458049058914, 'is': 17.023341357707977, 'a': 42.88492500782013, 'list': 29.53413426876068, 'of': 98.6154854297638, 'the': 48.118430376052856, 'most': 23.36440682411194, 'popular': 20.643512904644012, 'baby': 5.458413809537888, 'names': 85.3252112865448, 'in': 43.41016411781311, 'United': 56.844520568847656, 'States': 95.18970251083374, '2': 48.57061207294464, '.': 41.53841435909271, 'Name': 19.166646897792816, 'Gender': 16.249778866767883, 'Frequency': 12.9960298538208, 'Jacob': 19.82830911874771, 'Male': 45.2511340379715, ',': 84.12615656852722, '8': 11.92418485879898, '3': 11.225835233926773}"
"The set of all real numbers under the usual multiplication operation is not a group since
A. multiplication is not a binary operation B. multiplication is not associative C. identity element does not exist D. zero has no inverse
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: D Confidence: 100%
    There was a great view of Norman 's house and his new burgandy colored steel roof. I went back up on to my feet and turned around ready to go up further . I so badly wanted to improve on my previous height . What may have happened before he went back up in to their feet and turned around ?
A. They stopped to eat . B. They stopped to go to the restroom . C. They stopped to look at the view . D. None of the above choices.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: C Confidence: 100%
    A pulse may be felt on a patient's face where the
A. facial artery crosses the mandible. B. facial artery crosses the maxilla. C. superficial temporal artery crosses the maxilla. D. superficial temporal artery crosses the orbital rim.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number
    Answer: A Confidence: 95%
    The middle of the day usually involves the bright star nearest to the earth to be straight overhead why?A. moons gravity B. human planet rotation C. global warming D. moon rotation
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
Answer:",B," B Confidence: 100%
    The following are the steps in the process of making a decision except
A. identify the problem B. gather information C. evaluate the alternatives D. make a decision
Please answer the question to the",B,100,38,"{'B': 37.55200803279877, 'Confidence': 94.04138326644897, ':': 98.63466620445251, '': 63.37946057319641, '1': 45.45762240886688, '0': 99.20737743377686, '%': 98.13863635063171, 'The': 19.656895101070404, 'following': 7.10989385843277, 'are': 22.51889258623123, 'the': 99.92986917495728, 'steps': 10.874038189649582, 'in': 45.46608924865723, 'process': 20.04905492067337, 'of': 90.86573123931885, 'making': 9.585725516080856, 'a': 59.42707061767578, 'decision': 64.56079483032227, 'except': 27.11676061153412, 'A': 87.020343542099, '.': 99.68919157981873, 'identify': 6.038783863186836, 'problem': 48.97997975349426, 'gather': 10.178317129611969, 'information': 48.43238890171051, 'C': 85.0203275680542, 'evaluate': 10.847540944814682, 'alternatives': 26.649653911590576, 'D': 93.90681982040405, 'make': 16.400620341300964, 'Please': 91.03594422340393, 'answer': 99.56588745117188, 'question': 99.82374906539917, 'to': 99.84999895095825}"
"The set of all real numbers under the usual multiplication operation is not a group since
A. multiplication is not a binary operation B. multiplication is not associative C. identity element does not exist D. zero has no inverse
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: D Confidence: 100%
    There was a great view of Norman 's house and his new burgandy colored steel roof. I went back up on to my feet and turned around ready to go up further . I so badly wanted to improve on my previous height . What may have happened before he went back up in to their feet and turned around ?
A. They stopped to eat . B. They stopped to go to the restroom . C. They stopped to look at the view . D. None of the above choices.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: C Confidence: 100%
    A pulse may be felt on a patient's face where the
A. facial artery crosses the mandible. B. facial artery crosses the maxilla. C. superficial temporal artery crosses the maxilla. D. superficial temporal artery crosses the orbital rim.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number
    Answer: A Confidence: 95%
    The summer solstice in the northern hemisphere is four months beforeA. May B. July C. April D. October
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
Answer:",D," D Confidence: 100%
    The following is a list of the 10 most popular baby names in the United States in 2010.
    Name Gender Frequency
    Jacob Male 21,70",D,100,31,"{'D': 31.115391850471497, 'Confidence': 95.7109808921814, ':': 98.90490770339966, '': 98.32362532615662, '1': 33.45655798912048, '0': 11.053796857595444, '%': 98.41493964195251, 'The': 23.22021871805191, 'following': 6.199191510677338, 'is': 18.886035680770874, 'a': 43.503352999687195, 'list': 30.469173192977905, 'of': 98.5425055027008, 'the': 51.08785033226013, 'most': 23.05320054292679, 'popular': 19.59032267332077, 'baby': 5.909393355250359, 'names': 84.82948541641235, 'in': 44.53422427177429, 'United': 58.59127640724182, 'States': 95.0183629989624, '2': 48.96571934223175, '.': 41.59027934074402, 'Name': 17.98418164253235, 'Gender': 16.963990032672882, 'Frequency': 12.482523173093796, 'Jacob': 21.439237892627716, 'Male': 46.0506409406662, ',': 84.58206057548523, '7': 12.434225529432297}"
"The set of all real numbers under the usual multiplication operation is not a group since
A. multiplication is not a binary operation B. multiplication is not associative C. identity element does not exist D. zero has no inverse
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: D Confidence: 100%
    There was a great view of Norman 's house and his new burgandy colored steel roof. I went back up on to my feet and turned around ready to go up further . I so badly wanted to improve on my previous height . What may have happened before he went back up in to their feet and turned around ?
A. They stopped to eat . B. They stopped to go to the restroom . C. They stopped to look at the view . D. None of the above choices.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
    Answer: C Confidence: 100%
    A pulse may be felt on a patient's face where the
A. facial artery crosses the mandible. B. facial artery crosses the maxilla. C. superficial temporal artery crosses the maxilla. D. superficial temporal artery crosses the orbital rim.
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number
    Answer: A Confidence: 95%
    The main component in dirt isA. microorganisms B. broken stones C. pollution D. bacteria
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.
Answer:",B," B Confidence: 100%
    The main component in dirt isA. microorganisms B. broken stones C. pollution D. bacteria
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your",B,100,96,"{'B': 95.9293782711029, 'Confidence': 95.81344723701477, ':': 98.94157648086548, '': 94.38707828521729, '1': 45.34810185432434, '0': 99.40869808197021, '%': 98.4234631061554, 'The': 22.919125854969025, 'main': 10.195615887641907, 'component': 58.21751952171326, 'in': 93.03663372993469, 'dirt': 83.07706117630005, 'is': 98.91091585159302, 'A': 55.8068573474884, '.': 99.87980127334595, 'microorganisms': 89.26922082901001, 'broken': 97.42242097854614, 'stones': 99.38947558403015, 'C': 98.78525733947754, 'pollution': 98.58836531639099, 'D': 99.24584031105042, 'bacteria': 98.98993372917175, 'Please': 90.69527983665466, 'answer': 99.44011569023132, 'the': 99.84490871429443, 'question': 99.83409643173218, 'to': 99.8522937297821, 'best': 99.93249177932739, 'of': 99.92456436157227, 'your': 99.70889687538147, 'ability': 99.65020418167114, 'with': 99.70301389694214, 'corresponding': 99.06452894210815, 'letter': 99.61199760437012, 'representing': 98.49281907081604, 'and': 99.67694282531738, 'provide': 99.48633313179016}"
